version,filename,git_blob_sha1
1,V1__DailyLogin.sql,8de82dbd5118c32a74b1ecd4e013db45ebac76d9
2,V2__ProductCategory.sql,325db4f9c259df3c385f552d9ccbbb234015e9c3
3,V3__ProductUom.sql,8b05fbc58db26f8effedd1c2adb2c1944d9f95db
4,V4__City.sql,9332e7df907042e2b3d80f0ccabf686dfdcb4768
5,V5__State.sql,be1c9406e8b8539696e53b4b4d6afb9f30c40958
6,V6__Country.sql,b3765135aea66c5fc8674ea7213d492dd87f2509
7,V7__Address.sql,c75ee7ecf66afb2196283b5b733609e72bf73f4b
8,V8__AddressType.sql,55700ab85e2f1f7d659f44c849dca39946cd02fc
9,V9__PhoneNumber.sql,022222e8b48fa876ca72fff8d792774c615a0aa6
10,V10__Customer.sql,94202cea6ab01a8a1f21feee9569d21a68f214cd
11,V11__CustomerPhoneNumber.sql,b2922f4a7271c55d97f834851265920732d351c8
12,V12__CustomerAddress.sql,7a33a0839e5fa135b49545b7e60e3f945babb6fb
13,V13__Product.sql,f76cf3cc0bc0ea19b15506ef959adc5a346a126d
14,V14__CustomerProductRate.sql,11b1a5fe6bfd94092802e9af7611c6e066d801b1
15,V15__CylinderStates.sql,d456d25e28f43960cde8f5f6b2bf7d6f9c1a8ba2
16,V16__Cylinder.sql,07954b18de1d3be80f1d629b5d33e54f3eafe394
17,V17__Driver.sql,fd02d910bd46f2cd13a2ccb494da09b0aa100ecb
